Node Failure (%),Message Overhead,Algorithms
20.0,2317.0,Plebi 0.9 prob topology
20.0,836.0,RAFT
20.0,388.0,Plebi 0.3 prob topology
20.0,538.0,Plebi 0.5 prob topology
20.0,2842.0,Plebi 0.7 prob topology
20.0,1589.0,Plebi 0.9 prob topology
20.0,842.0,RAFT
20.0,253.0,Plebi 0.3 prob topology
20.0,432.0,Plebi 0.5 prob topology
20.0,1340.0,Plebi 0.7 prob topology
20.0,2088.0,Plebi 0.9 prob topology
20.0,802.0,RAFT
20.0,224.0,Plebi 0.3 prob topology
20.0,403.0,Plebi 0.5 prob topology
20.0,736.0,Plebi 0.7 prob topology
20.0,1924.0,Plebi 0.9 prob topology
20.0,761.0,RAFT
20.0,203.0,Plebi 0.3 prob topology
20.0,542.0,Plebi 0.5 prob topology
20.0,613.0,Plebi 0.7 prob topology
20.0,2049.0,Plebi 0.9 prob topology
20.0,661.0,RAFT
20.0,223.0,Plebi 0.3 prob topology
20.0,990.0,Plebi 0.5 prob topology
20.0,749.0,Plebi 0.7 prob topology
20.0,2224.0,Plebi 0.9 prob topology
20.0,727.0,RAFT
20.0,134.0,Plebi 0.3 prob topology
20.0,520.0,Plebi 0.5 prob topology
20.0,859.0,Plebi 0.7 prob topology
20.0,1720.0,Plebi 0.9 prob topology
20.0,759.0,RAFT
20.0,290.0,Plebi 0.3 prob topology
20.0,519.0,Plebi 0.5 prob topology
20.0,593.0,Plebi 0.7 prob topology
20.0,2126.0,Plebi 0.9 prob topology
20.0,860.0,RAFT
20.0,201.0,Plebi 0.3 prob topology
20.0,480.0,Plebi 0.5 prob topology
20.0,1512.0,Plebi 0.7 prob topology
20.0,2143.0,Plebi 0.9 prob topology
20.0,819.0,RAFT
20.0,194.0,Plebi 0.3 prob topology
20.0,316.0,Plebi 0.5 prob topology
20.0,1162.0,Plebi 0.7 prob topology
20.0,1649.0,Plebi 0.9 prob topology
20.0,793.0,RAFT
20.0,179.0,Plebi 0.3 prob topology
20.0,783.0,Plebi 0.5 prob topology
20.0,721.0,Plebi 0.7 prob topology
20.0,1837.0,Plebi 0.9 prob topology
20.0,754.0,RAFT
20.0,144.0,Plebi 0.3 prob topology
20.0,662.0,Plebi 0.5 prob topology
20.0,867.0,Plebi 0.7 prob topology
20.0,1544.0,Plebi 0.9 prob topology
20.0,860.0,RAFT
20.0,128.0,Plebi 0.3 prob topology
20.0,1172.0,Plebi 0.5 prob topology
20.0,1013.0,Plebi 0.7 prob topology
20.0,1611.0,Plebi 0.9 prob topology
20.0,800.0,RAFT
30.0,139.0,Plebi 0.3 prob topology
30.0,152.0,Plebi 0.5 prob topology
30.0,948.0,Plebi 0.7 prob topology
30.0,919.0,Plebi 0.9 prob topology
30.0,813.0,RAFT
30.0,177.0,Plebi 0.3 prob topology
30.0,493.0,Plebi 0.5 prob topology
30.0,773.0,Plebi 0.7 prob topology
30.0,1210.0,Plebi 0.9 prob topology
30.0,777.0,RAFT
30.0,223.0,Plebi 0.3 prob topology
30.0,535.0,Plebi 0.5 prob topology
30.0,1400.0,Plebi 0.7 prob topology
30.0,1261.0,Plebi 0.9 prob topology
30.0,712.0,RAFT
30.0,618.0,Plebi 0.3 prob topology
30.0,651.0,Plebi 0.5 prob topology
30.0,1121.0,Plebi 0.7 prob topology
30.0,969.0,Plebi 0.9 prob topology
30.0,651.0,RAFT
30.0,440.0,Plebi 0.3 prob topology
30.0,328.0,Plebi 0.5 prob topology
30.0,769.0,Plebi 0.7 prob topology
30.0,1596.0,Plebi 0.9 prob topology
30.0,711.0,RAFT
30.0,212.0,Plebi 0.3 prob topology
30.0,604.0,Plebi 0.5 prob topology
30.0,1566.0,Plebi 0.7 prob topology
30.0,2214.0,Plebi 0.9 prob topology
30.0,780.0,RAFT
30.0,215.0,Plebi 0.3 prob topology
30.0,675.0,Plebi 0.5 prob topology
30.0,1356.0,Plebi 0.7 prob topology
30.0,1708.0,Plebi 0.9 prob topology
30.0,810.0,RAFT
30.0,121.0,Plebi 0.3 prob topology
30.0,758.0,Plebi 0.5 prob topology
30.0,1075.0,Plebi 0.7 prob topology
30.0,1070.0,Plebi 0.9 prob topology
30.0,780.0,RAFT
40.0,220.0,Plebi 0.3 prob topology
40.0,437.0,Plebi 0.5 prob topology
40.0,957.0,Plebi 0.7 prob topology
40.0,1221.0,Plebi 0.9 prob topology
40.0,808.0,RAFT
40.0,833.0,Plebi 0.3 prob topology
40.0,436.0,Plebi 0.5 prob topology
40.0,1181.0,Plebi 0.7 prob topology
40.0,1004.0,Plebi 0.9 prob topology
40.0,618.0,RAFT
40.0,308.0,Plebi 0.3 prob topology
40.0,767.0,Plebi 0.5 prob topology
40.0,1480.0,Plebi 0.7 prob topology
40.0,1260.0,Plebi 0.9 prob topology
40.0,736.0,RAFT
40.0,632.0,Plebi 0.3 prob topology
40.0,634.0,Plebi 0.5 prob topology
40.0,408.0,Plebi 0.7 prob topology
40.0,873.0,Plebi 0.9 prob topology
